Feature_A_(i),Feature_A_(i)-noFeature_A_(i),Feature_B_(2i),Feature_B_(2i)-noFeature_A_(i),Feature_C_(-i),Feature_C_(-i)-noFeature_A_(i),Constant_Feature,Constant_Feature-noFeature_A_(i),Random_Feature,Random_Feature-noFeature_A_(i),Outcome,Outcome-noFeature_A_(i)
0,4787,0,5948,0,-2975,1,1,0.3581485321045217,0.33085674641798635,A,A
1,4787,2,5948,-1,-2975,1,1,0.8839101610867179,0.8483288367488273,A,A
3,4787,6,5948,-3,-2975,1,1,0.6316865682867979,0.5970130310756897,A,A
5,4787,10,5948,-5,-2975,1,1,0.1179020570763114,0.11766008071769851,A,A
7,4787,14,5960,-7,-2981,1,1,0.7025658670285041,0.6567225731105883,A,A
10,4787,20,5960,-10,-2981,1,1,0.36802664311794664,0.34394625120281785,A,A
11,4787,22,5960,-11,-2981,1,1,0.3360509643974219,0.30887378737929305,A,A
12,4787,24,5972,-12,-2986,1,1,0.7115493583210833,0.6676345312549455,A,A
13,4787,26,5972,-13,-2986,1,1,0.9001961335411152,0.8844562399641169,A,A
14,4787,28,5972,-14,-2986,1,1,0.12983388824365016,0.11766008071769851,A,A
18,4787,36,5982,-18,-2992,1,1,0.5350356937942453,0.4863973973956013,A,A
21,4787,42,5982,-21,-2992,1,1,0.6573315481857762,0.6185616736968093,A,A
22,4787,44,5982,-22,-2992,1,1,0.5982458560217326,0.5603876811308924,A,A
23,4787,46,5994,-23,-2998,1,1,0.45243048498421456,0.43084017934406293,A,A
24,4787,48,5994,-24,-2998,1,1,0.5715065219420598,0.5287072142744291,A,A
26,4787,52,5994,-26,-2998,1,1,0.7883168386108598,0.7650504588350444,A,A
27,4787,54,5994,-27,-2998,1,1,0.06236974384899474,0.046636926221635844,A,A
28,4787,56,5994,-28,-2998,1,1,0.8851762289017996,0.8659373859054671,A,A
31,4787,62,6006,-31,-3004,1,1,0.3837438429114993,0.36326959483172827,A,A
32,4787,64,6006,-32,-3004,1,1,0.08907858337601626,0.08139052448728146,A,A
33,4787,66,6006,-33,-3004,1,1,0.03685874487641183,0.02540337192260267,A,A
35,4787,70,6018,-35,-3010,1,1,0.18909655388762214,0.17573684250755928,A,A
36,4787,72,6018,-36,-3010,1,1,0.9814074756527397,0.9708335991200716,A,A
38,4787,76,6018,-38,-3010,1,1,0.8533625788942175,0.836604570279811,A,A
39,4787,78,6018,-39,-3010,1,1,0.40683512717298975,0.3994271172644791,A,A
41,4787,82,6030,-41,-3015,1,1,0.42509986469827554,0.41436990175995514,A,A
42,4787,84,6030,-42,-3015,1,1,0.34792892870247305,0.33085674641798635,A,A
44,4787,88,6030,-44,-3015,1,1,0.9054135171710901,0.8844562399641169,A,A
45,4787,90,6030,-45,-3015,1,1,0.702852864781662,0.6567225731105883,A,A
46,4787,92,6040,-46,-3021,1,1,0.782790506984652,0.74048802736636,A,A
49,4787,98,6040,-49,-3021,1,1,0.18577998682076147,0.1556084896784825,A,A
51,4787,102,6040,-51,-3021,1,1,0.17336566860538916,0.1556084896784825,A,A
53,4787,106,6052,-53,-3027,1,1,0.5809270792949821,0.5287072142744291,A,A
54,4787,108,6052,-54,-3027,1,1,0.7626275755393541,0.74048802736636,A,A
55,4787,110,6052,-55,-3027,1,1,0.3305735447074689,0.30887378737929305,A,A
58,4787,116,6064,-58,-3033,1,1,0.10748435250109534,0.08139052448728146,A,A
59,4787,118,6064,-59,-3033,1,1,0.31815206615596414,0.2705870793149804,A,A
60,4787,120,6064,-60,-3033,1,1,0.17615374435243925,0.1556084896784825,A,A
62,4787,124,6064,-62,-3033,1,1,0.41427400112941626,0.3994271172644791,A,A
63,4787,126,6064,-63,-3033,1,1,0.49938782495874,0.4686479736942557,A,A
64,4787,128,6076,-64,-3038,1,1,0.5947312267231223,0.5437811418999469,A,A
65,4787,130,6076,-65,-3038,1,1,0.8171358104150716,0.7752105467541478,A,A
67,4787,134,6076,-67,-3038,1,1,0.7695838355598332,0.74048802736636,A,A
69,4787,138,6076,-69,-3038,1,1,0.06343830372503745,0.046636926221635844,A,A
70,4787,140,6086,-70,-3044,1,1,0.9595882794162985,0.9556519694980462,A,A
73,4787,146,6086,-73,-3044,1,1,0.6168416704429529,0.5738128596868537,A,A
75,4787,150,6098,-75,-3050,1,1,0.24786944985703308,0.20479149534265284,A,A
76,4787,152,6098,-76,-3050,1,1,0.07574345645986724,0.06575410935862658,A,A
77,4787,154,6098,-77,-3050,1,1,0.9576917662311247,0.9556519694980462,A,A
78,4787,156,6098,-78,-3050,1,1,0.3444122032974388,0.30887378737929305,A,A
79,4787,158,6098,-79,-3050,1,1,0.00018798835706279604,0.009431753548861166,A,A
81,4787,162,6110,-81,-3056,1,1,0.08338800327535068,0.06575410935862658,A,A
82,4787,164,6110,-82,-3056,1,1,0.8371076701450203,0.7978402972390728,A,A
86,4787,172,6110,-86,-3056,1,1,0.5928400284910654,0.5437811418999469,A,A
87,4787,174,6122,-87,-3062,1,1,0.31353758449725977,0.2705870793149804,A,A
89,4787,178,6122,-89,-3062,1,1,0.2044281416563637,0.17573684250755928,A,A
90,4787,180,6122,-90,-3062,1,1,0.46052453367336,0.45443658440763757,A,A
91,4787,182,6122,-91,-3062,1,1,0.27655555095419226,0.2200783515824032,A,A
93,4787,186,6134,-93,-3067,1,1,0.2156697601069203,0.18991284810616926,A,A
94,4787,188,6134,-94,-3067,1,1,0.14628113311681623,0.14001508031831478,A,A
95,4787,190,6134,-95,-3067,1,1,0.6364167409499052,0.5970130310756897,A,A
96,4787,192,6134,-96,-3067,1,1,0.2323360157373191,0.18991284810616926,A,A
99,4787,198,6144,-99,-3073,1,1,0.7964356400542186,0.7650504588350444,A,A
100,4787,200,6144,-100,-3073,1,1,0.2875327944914716,0.23139716590926385,A,A
101,4787,202,6144,-101,-3073,1,1,0.49383332900746946,0.4686479736942557,A,A
102,4787,204,6144,-102,-3073,1,1,0.19739142058166181,0.17573684250755928,A,A
103,4787,206,6144,-103,-3073,1,1,0.7548063603256833,0.7248533491587095,A,A
104,4787,208,6144,-104,-3073,1,1,0.3645628592530845,0.33085674641798635,A,A
105,4787,210,6156,-105,-3079,1,1,0.3656840437206773,0.34394625120281785,A,A
106,4787,212,6156,-106,-3079,1,1,0.84754785192232,0.81093086149687,A,A
107,4787,214,6156,-107,-3079,1,1,0.15569631768405867,0.14001508031831478,A,A
109,4787,218,6156,-109,-3079,1,1,0.8776157882608909,0.8483288367488273,A,A
111,4787,222,6168,-111,-3085,1,1,0.6848139489241195,0.6403485791625139,A,A
114,4787,228,6168,-114,-3085,1,1,0.8967573771245423,0.8844562399641169,A,A
115,4787,230,6168,-115,-3085,1,1,0.5144574291580433,0.4863973973956013,A,A
118,4787,236,6180,-118,-3091,1,1,0.9119564155005877,0.897897211542344,A,A
120,4787,240,6180,-120,-3091,1,1,0.7449259240416669,0.7124266951977283,A,A
122,4787,244,6192,-122,-3096,1,1,0.0025256535814799363,0.009431753548861166,A,A
124,4787,248,6192,-124,-3096,1,1,0.4804421953497041,0.45443658440763757,A,A
125,4787,250,6192,-125,-3096,1,1,0.039918173844016636,0.02540337192260267,A,A
126,4787,252,6192,-126,-3096,1,1,0.8019859002940205,0.7752105467541478,A,A
127,4787,254,6192,-127,-3096,1,1,0.7404676807815441,0.7124266951977283,A,A
128,4787,256,6202,-128,-3102,1,1,0.35394898011032017,0.33085674641798635,A,A
132,4787,264,6202,-132,-3102,1,1,0.9985188230254209,0.9867277963524416,A,A
134,4787,268,6214,-134,-3108,1,1,0.08753180441541364,0.08139052448728146,A,A
135,4787,270,6214,-135,-3108,1,1,0.45693399513245136,0.45443658440763757,A,A
136,4787,272,6214,-136,-3108,1,1,0.5420084319709784,0.5057843245177359,A,A
138,4787,276,6214,-138,-3108,1,1,0.7235440909847851,0.6865687000926515,A,A
139,4787,278,6226,-139,-3114,1,1,0.08298791698125008,0.06575410935862658,A,A
140,4787,280,6226,-140,-3114,1,1,0.2098672099761597,0.18991284810616926,A,A
141,4787,282,6226,-141,-3114,1,1,0.9361882248606086,0.9155804834289545,A,A
144,4787,288,6226,-144,-3114,1,1,0.6409335998781611,0.6185616736968093,A,A
145,4787,290,6238,-145,-3120,1,1,0.31936333175165044,0.29312155847436416,A,A
146,4787,292,6238,-146,-3120,1,1,0.6530281546879411,0.6185616736968093,A,A
147,4787,294,6238,-147,-3120,1,1,0.7307944381478196,0.6865687000926515,A,A
148,4787,296,6238,-148,-3120,1,1,0.3234850816431194,0.29312155847436416,A,A
149,4787,298,6238,-149,-3120,1,1,0.5389870398960958,0.4863973973956013,A,A
150,4787,300,6238,-150,-3120,1,1,0.7314529725710204,0.6865687000926515,A,A
152,4787,304,6250,-152,-3125,1,1,0.10907559554219015,0.09584927697217083,A,A
154,4787,308,6250,-154,-3125,1,1,0.328939054410314,0.30887378737929305,A,A
156,4787,312,6250,-156,-3125,1,1,0.41848078614115325,0.41436990175995514,A,A
157,4787,314,6260,-157,-3131,1,1,0.9756041135596359,0.9708335991200716,A,A
158,4787,316,6260,-158,-3131,1,1,0.35344865233845213,0.33085674641798635,A,A
160,4787,320,6260,-160,-3131,1,1,0.5547361732143491,0.5184576116122209,A,A
161,4787,322,6260,-161,-3131,1,1,0.0891336921094471,0.08139052448728146,A,A
162,4787,324,6260,-162,-3131,1,1,0.4086551213893691,0.3994271172644791,A,A
163,4787,326,6272,-163,-3137,1,1,0.25029279515328706,0.20479149534265284,A,A
166,4787,332,6272,-166,-3137,1,1,0.48687563784850674,0.4686479736942557,A,A
167,4787,334,6272,-167,-3137,1,1,0.44445852567547495,0.43084017934406293,A,A
168,4787,336,6284,-168,-3143,1,1,0.8907188245124945,0.8659373859054671,A,A
169,4787,338,6284,-169,-3143,1,1,0.3061689856984916,0.2705870793149804,A,A
170,4787,340,6284,-170,-3143,1,1,0.8798434225240414,0.8483288367488273,A,A
171,4787,342,6284,-171,-3143,1,1,0.0745435733204598,0.06575410935862658,A,A
174,4787,348,6296,-174,-3148,1,1,0.3830656923488178,0.36326959483172827,A,A
175,4787,350,6296,-175,-3148,1,1,0.9920349123789985,0.9867277963524416,A,A
177,4787,354,6296,-177,-3148,1,1,0.9851696042005833,0.9708335991200716,A,A
179,4787,358,6296,-179,-3148,1,1,0.2919342053637328,0.23139716590926385,A,A
180,4787,360,6306,-180,-3154,1,1,0.17815154104628128,0.1556084896784825,A,A
181,4787,362,6306,-181,-3154,1,1,0.8538597292457968,0.836604570279811,A,A
183,4787,366,6306,-183,-3154,1,1,0.4790305279039493,0.45443658440763757,A,A
184,4787,368,6306,-184,-3154,1,1,0.7147776404233779,0.6676345312549455,A,A
185,4787,370,6306,-185,-3154,1,1,0.8017489925271069,0.7752105467541478,A,A
186,4787,372,6318,-186,-3160,1,1,0.011498010784058432,0.009431753548861166,A,A
187,4787,374,6318,-187,-3160,1,1,0.8371325712700731,0.81093086149687,A,A
189,4787,378,6318,-189,-3160,1,1,0.5492034535373715,0.5057843245177359,A,A
190,4787,380,6318,-190,-3160,1,1,0.7308845633079191,0.6865687000926515,A,A
191,4787,382,6318,-191,-3160,1,1,0.10921191130855845,0.09584927697217083,A,A
192,4787,384,6330,-192,-3166,1,1,0.9234830037894185,0.897897211542344,A,A
195,4787,390,6330,-195,-3166,1,1,0.368353272569945,0.34394625120281785,A,A
196,4787,392,6330,-196,-3166,1,1,0.8724991015739577,0.8483288367488273,A,A
197,4787,394,6342,-197,-3172,1,1,0.2922377569551684,0.23139716590926385,A,A
199,4787,398,6342,-199,-3172,1,1,0.5248936171304759,0.4863973973956013,A,A
200,4787,400,6342,-200,-3172,1,1,0.3060569653180567,0.2556376638625464,A,A
201,4787,402,6342,-201,-3172,1,1,0.26199665297179386,0.2200783515824032,A,A
202,4787,404,6342,-202,-3172,1,1,0.47169304505146326,0.45443658440763757,A,A
203,4787,406,6354,-203,-3177,1,1,0.1902830388180744,0.17573684250755928,A,A
204,4787,408,6354,-204,-3177,1,1,0.9093441924168961,0.897897211542344,A,A
205,4787,410,6354,-205,-3177,1,1,0.7320098361501537,0.7124266951977283,A,A
207,4787,414,6354,-207,-3177,1,1,0.5854106508314816,0.5287072142744291,A,A
208,4787,416,6354,-208,-3177,1,1,0.3262330582153067,0.29312155847436416,A,A
209,4787,418,6364,-209,-3183,1,1,0.510516524939833,0.4686479736942557,A,A
210,4787,420,6364,-210,-3183,1,1,0.5126369798472399,0.4863973973956013,A,A
211,4787,422,6364,-211,-3183,1,1,0.855642868013121,0.836604570279811,A,A
212,4787,424,6364,-212,-3183,1,1,0.31246113422227684,0.2705870793149804,A,A
213,4787,426,6364,-213,-3183,1,1,0.8445645520264801,0.81093086149687,A,A
214,4787,428,6364,-214,-3183,1,1,0.4516985791113336,0.43084017934406293,A,A
215,4787,430,6376,-215,-3189,1,1,0.22973536766060942,0.18991284810616926,A,A
220,4787,440,6376,-220,-3189,1,1,0.9231317027545626,0.897897211542344,A,A
222,4787,444,6388,-222,-3195,1,1,0.743066243381264,0.7124266951977283,A,A
224,4787,448,6388,-224,-3195,1,1,0.8476455748949766,0.836604570279811,A,A
225,4787,450,6388,-225,-3195,1,1,0.7932621032872628,0.7650504588350444,A,A
226,4787,452,6400,-226,-3201,1,1,0.23826111084097823,0.20479149534265284,A,A
227,4787,454,6400,-227,-3201,1,1,0.5115687808399548,0.4863973973956013,A,A
229,4787,458,6400,-229,-3201,1,1,0.3279480873617552,0.29312155847436416,A,A
230,4787,460,6400,-230,-3201,1,1,0.6259314303093111,0.5970130310756897,A,A
231,4787,462,6400,-231,-3201,1,1,0.8971980029870462,0.8844562399641169,A,A
232,4787,464,6412,-232,-3206,1,1,0.9908711908535485,0.9867277963524416,A,A
233,4787,466,6412,-233,-3206,1,1,0.7584237246845656,0.7248533491587095,A,A
234,4787,468,6412,-234,-3206,1,1,0.8237125253110059,0.7978402972390728,A,A
235,4787,470,6412,-235,-3206,1,1,0.7584120604450391,0.7248533491587095,A,A
236,4787,472,6412,-236,-3206,1,1,0.9575466519742649,0.9556519694980462,A,A
237,4787,474,6412,-237,-3206,1,1,0.4113756427780252,0.3994271172644791,A,A
238,4787,476,6422,-238,-3212,1,1,0.9612472393298356,0.9556519694980462,A,A
240,4787,480,6422,-240,-3212,1,1,0.2764494259327396,0.2200783515824032,A,A
241,4787,482,6422,-241,-3212,1,1,0.938353865972726,0.9155804834289545,A,A
242,4787,484,6422,-242,-3212,1,1,0.6124703511727232,0.5738128596868537,A,A
244,4787,488,6434,-244,-3218,1,1,0.5701127403098096,0.5184576116122209,A,A
245,4787,490,6434,-245,-3218,1,1,0.16751459145622916,0.14001508031831478,A,A
249,4787,498,6434,-249,-3218,1,1,0.9493041759216881,0.9358892092224953,A,A
251,4787,502,6446,-251,-3224,1,1,0.9911899563397208,0.9867277963524416,A,A
252,4787,504,6446,-252,-3224,1,1,0.8316434202957592,0.7978402972390728,A,A
254,4787,508,6446,-254,-3224,1,1,0.5503637737372428,0.5184576116122209,A,A
255,4787,510,6446,-255,-3224,1,1,0.9379948550290127,0.9155804834289545,A,A
256,4787,512,6458,-256,-3230,1,1,0.304195182608067,0.2556376638625464,A,A
257,4787,514,6458,-257,-3230,1,1,0.6041084664351004,0.5603876811308924,A,A
258,4787,516,6458,-258,-3230,1,1,0.8429299266418653,0.81093086149687,A,A
259,4787,518,6458,-259,-3230,1,1,0.08317559390365592,0.06575410935862658,A,A
260,4787,520,6458,-260,-3230,1,1,0.44232886396111537,0.43084017934406293,A,A
266,4787,532,6470,-266,-3235,1,1,0.10830619248453244,0.09584927697217083,A,A
267,4787,534,6480,-267,-3241,1,1,0.2849481034476822,0.23139716590926385,A,A
268,4787,536,6480,-268,-3241,1,1,0.9421824520090991,0.9358892092224953,A,A
269,4787,538,6480,-269,-3241,1,1,0.32528102413436866,0.29312155847436416,A,A
271,4787,542,6480,-271,-3241,1,1,0.19006142689484962,0.17573684250755928,A,A
273,4787,546,6492,-273,-3247,1,1,0.1804109096654538,0.1556084896784825,A,A
274,4787,548,6492,-274,-3247,1,1,0.11257032597186623,0.09584927697217083,A,A
276,4787,552,6492,-276,-3247,1,1,0.9777169062368408,0.9708335991200716,A,A
278,4787,556,6492,-278,-3247,1,1,0.13597021502270445,0.11766008071769851,A,A
281,4787,562,6504,-281,-3253,1,1,0.6771155863562527,0.6403485791625139,A,A
282,4787,564,6504,-282,-3253,1,1,0.8813731959095698,0.8483288367488273,A,A
283,4787,566,6504,-283,-3253,1,1,0.5462389635950663,0.5057843245177359,A,A
284,4787,568,6504,-284,-3253,1,1,0.3746240959849827,0.34394625120281785,A,A
285,4787,570,6516,-285,-3258,1,1,0.38273465364445847,0.36326959483172827,A,A
287,4787,574,6516,-287,-3258,1,1,0.7221678025804639,0.6676345312549455,A,A
288,4787,576,6516,-288,-3258,1,1,0.39451644860589097,0.3838453928986345,A,A
289,4787,578,6516,-289,-3258,1,1,0.6956345046795808,0.6567225731105883,A,A
295,4787,590,6526,-295,-3264,1,1,0.7309991588805963,0.6865687000926515,A,A
296,4787,592,6538,-296,-3270,1,1,0.751624247387987,0.7248533491587095,A,A
297,4787,594,6538,-297,-3270,1,1,0.8957926671717115,0.8844562399641169,A,A
301,4787,602,6538,-301,-3270,1,1,0.678621897564474,0.6403485791625139,A,A
302,4787,604,6550,-302,-3276,1,1,0.8445248735248361,0.81093086149687,A,A
304,4787,608,6550,-304,-3276,1,1,0.4354048305112247,0.41436990175995514,A,A
307,4787,614,6550,-307,-3276,1,1,0.44452759464861724,0.43084017934406293,A,A
308,4787,616,6562,-308,-3282,1,1,0.29044071739397614,0.23139716590926385,A,A
309,4787,618,6562,-309,-3282,1,1,0.23874750145564017,0.20479149534265284,A,A
310,4787,620,6562,-310,-3282,1,1,0.3791777074689626,0.36326959483172827,A,A
311,4787,622,6562,-311,-3282,1,1,0.6689599395406561,0.6403485791625139,A,A
312,4787,624,6562,-312,-3282,1,1,0.11640682191707508,0.09584927697217083,A,A
314,4787,628,6574,-314,-3287,1,1,0.9680983063246806,0.9708335991200716,A,A
315,4787,630,6574,-315,-3287,1,1,0.012781374179177019,0.02540337192260267,A,A
316,4787,632,6574,-316,-3287,1,1,0.394203477821936,0.3838453928986345,A,A
317,4787,634,6574,-317,-3287,1,1,0.2716687561530514,0.2200783515824032,A,A
318,4787,636,6574,-318,-3287,1,1,0.982356478691016,0.9708335991200716,A,A
319,4787,638,6584,-319,-3293,1,1,0.6218164244319097,0.5738128596868537,A,A
323,4787,646,6584,-323,-3293,1,1,0.894204299513141,0.8659373859054671,A,A
324,4787,648,6584,-324,-3293,1,1,0.29936365179074487,0.2556376638625464,A,A
325,4787,650,6596,-325,-3299,1,1,0.6191946502475879,0.5738128596868537,A,A
326,4787,652,6596,-326,-3299,1,1,0.03690349437327689,0.02540337192260267,A,A
327,4787,654,6596,-327,-3299,1,1,0.013631094690395917,0.02540337192260267,A,A
328,4787,656,6596,-328,-3299,1,1,0.23767222590019765,0.20479149534265284,A,A
329,4787,658,6596,-329,-3299,1,1,0.5612583125587796,0.5184576116122209,A,A
331,4787,662,5948,-331,-2975,1,1,0.7384855172912195,0.74048802736636,A,A
332,4787,664,5948,-332,-2975,1,1,0.6711491342736402,0.6865687000926515,A,A
334,4787,668,5948,-334,-2975,1,1,0.7723776452809665,0.7752105467541478,A,A
335,4787,670,5948,-335,-2975,1,1,0.5591999188833854,0.5738128596868537,A,A
336,4787,672,5948,-336,-2975,1,1,0.16350656450403,0.18991284810616926,A,A
