Label,Rules,Quality,Score
0,IF priors_count<=3.0 AND age>=50.0 AND race!=African-American AND c_charge_desc!=Grand Theft in the 3rd Degree AND c_charge_desc!=Possession of Cocaine THEN score_text=Low,0.985294117647,0.7915451895043732
1,IF race==Other AND age>=31.0 AND priors_count<=5.0 AND c_charge_desc!=Grand Theft in the 3rd Degree THEN score_text=Low,0.958333333333,0.7312925170068028
2,IF priors_count<=2.0 AND age_cat==Greater than 45 AND age>=54.0 THEN score_text=Low,0.945945945946,0.44412050534499514
3,IF c_charge_desc==Driving Under The Influence AND sex!=Female THEN score_text=Low,0.92,0.07434402332361523
4,IF priors_count<=2.0 AND age_cat==Greater than 45 AND priors_count<=1.0 AND age>=49.0 AND c_charge_desc!=Dealing in Stolen Property THEN score_text=Low,0.9375,0.5646258503401361
5,IF race==Hispanic AND priors_count<=4.0 AND age>=32.0 AND c_charge_degree==F THEN score_text=Low,0.92,0.6788143828960155
6,IF age>=35.0 AND race==Caucasian AND c_charge_degree!=F AND priors_count<=4.0 AND sex!=Female THEN score_text=Low,0.907407407407,0.6929057337220602
7,IF c_charge_desc==Battery AND sex==Female AND race!=Caucasian AND age_cat==25 - 45 THEN score_text=Low,0.911764705882,0.32555879494655005
8,IF juv_fel_count>=1.0 AND juv_fel_count>=2.0 AND priors_count>=4.0 AND age_cat!=Greater than 45 AND race!=Caucasian THEN score_text=High,0.888888888889,1.2142857142857142
9,IF priors_count<=3.0 AND race==Other AND c_charge_degree==F AND c_charge_desc!=Att Burgl Unoccupied Dwel AND c_charge_desc!=Attempted Burg/Convey/Unocc THEN score_text=Low,0.884615384615,0.42759961127308066
10,IF age>=35.0 AND race==Caucasian AND priors_count<=4.0 AND age<=42.0 AND priors_count<=2.0 THEN score_text=Low,0.877192982456,1.1030126336248787
11,IF c_charge_desc==Battery AND race!=African-American AND age>=32.0 AND sex!=Female THEN score_text=Low,0.84,0.685131195335277
12,IF priors_count<=3.0 AND age_cat==Greater than 45 AND c_charge_degree!=F AND c_charge_desc!=Driving License Suspended AND c_charge_desc!=Trespass Structure/Conveyance THEN score_text=Low,0.814814814815,0.20068027210884354
