sex,sex-norace,age,age-norace,age_cat,age_cat-norace,race,race-norace,juv_fel_count,juv_fel_count-norace,juv_misd_count,juv_misd_count-norace,juv_other_count,juv_other_count-norace,priors_count,priors_count-norace,c_charge_degree,c_charge_degree-norace,c_charge_desc,c_charge_desc-norace,decile_score,decile_score-norace,score_text,score_text-norace
Male,Male,44,47,25 - 45,Greater than 45,Other,African-American,0,0,0,0,0,0,0,5,M,M,Battery,arrest case no charge,1,1,Low,Low
Female,Male,37,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Female,Female,47,29,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,1,5,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,3,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,10,10,High,High
Male,Male,43,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,1,5,M,M,Susp Drivers Lic 1st Offense,Possession of Cocaine,1,1,Low,Low
Male,Male,32,29,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,3,3,Low,Low
Male,Male,27,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,8,5,F,F,Carrying Concealed Firearm,Carrying Concealed Firearm,3,3,Low,Low
Male,Male,33,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Tampering With Physical Evidence,arrest case no charge,10,10,High,High
Male,Male,30,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,9,5,F,F,Felony Battery w/Prior Convict,arrest case no charge,9,9,High,High
Male,Male,55,47,Greater than 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,29,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Possess Cannabis/20 Grams Or Less,arrest case no charge,2,2,Low,Low
Female,Female,21,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,2,5,F,F,arrest case no charge,arrest case no charge,8,8,High,High
Male,Male,51,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,2,5,M,M,Unlaw Use False Name/Identity,Battery,1,1,Low,Low
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,M,Defrauding Innkeeper $300/More,Grand Theft in the 3rd Degree,7,7,Medium,Medium
Male,Male,25,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,9,5,M,M,Battery,Battery,10,10,High,High
Male,Male,35,29,25 - 45,25 - 45,African-American,African-American,1,0,0,0,4,1,13,5,F,F,Uttering a Forged Instrument,arrest case no charge,8,8,High,High
Male,Male,49,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,DUI Level 0.15 Or Minor In Veh,Battery,1,1,Low,Low
Male,Male,29,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,1,5,F,F,Possession of Oxycodone,Grand Theft in the 3rd Degree,2,2,Low,Low
Male,Male,31,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,1,0,15,5,F,F,Attempt Armed Burglary Dwell,arrest case no charge,5,5,Medium,Medium
Male,Male,24,29,Less than 25,25 - 45,African-American,African-American,0,0,0,0,0,0,2,5,F,F,Poss Tetrahydrocannabinols,Battery,4,4,Low,Low
Female,Female,56,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,39,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,M,M,arrest case no charge,arrest case no charge,4,4,Low,Low
Male,Male,27,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,1,0,1,5,F,M,arrest case no charge,arrest case no charge,6,6,Medium,Medium
Male,Male,40,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,2,5,F,F,arrest case no charge,arrest case no charge,2,2,Low,Low
Male,Male,32,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,M,Felony Battery (Dom Strang),Battery,2,2,Low,Low
Male,Male,41,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,M,M,arrest case no charge,Pos Cannabis W/Intent Sel/Del,2,2,Low,Low
Male,Male,50,47,Greater than 45,Greater than 45,Other,African-American,0,0,0,0,0,0,0,5,F,M,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,25,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,9,5,F,F,Pos Cannabis W/Intent Sel/Del,Pos Cannabis W/Intent Sel/Del,8,8,High,High
Female,Male,20,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,"Poss3,4 Methylenedioxymethcath","Poss3,4 Methylenedioxymethcath",7,7,Medium,Medium
Male,Male,30,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,Fail To Redeliv Hire/Leas Prop,Battery,2,2,Low,Low
Male,Male,21,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,3,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,9,9,High,High
Male,Male,38,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,5,5,M,M,Possess Cannabis/20 Grams Or Less,arrest case no charge,4,4,Low,Low
Male,Male,34,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Aggravated Assault w/Firearm,Battery,5,5,Medium,Medium
Male,Male,42,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,1,5,F,F,Aggrav Stalking After Injunctn,"Poss3,4 Methylenedioxymethcath",2,2,Low,Low
Male,Male,31,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,13,5,F,F,arrest case no charge,arrest case no charge,10,10,High,High
Male,Male,42,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,6,5,F,F,Possession Of Alprazolam,Battery,3,3,Low,Low
Female,Female,25,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,2,5,F,F,arrest case no charge,arrest case no charge,4,4,Low,Low
Male,Male,30,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,1,5,M,M,Agg Fleeing and Eluding,Grand Theft in the 3rd Degree,2,2,Low,Low
Female,Female,37,29,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,2,5,M,M,Petit Theft,Battery,2,2,Low,Low
Male,Male,28,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Disorderly Intoxication,Driving While License Revoked,2,2,Low,Low
Male,Male,44,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,2,5,M,M,Battery,Battery,2,2,Low,Low
Male,Male,31,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,M,M,Lewdness Violation,Battery,2,2,Low,Low
Male,Male,32,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,11,5,F,F,Poss Pyrrolidinovalerophenone,arrest case no charge,6,6,Medium,Medium
Female,Male,31,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Possession of Oxycodone,Possession of Oxycodone,3,3,Low,Low
Female,Female,33,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,7,5,F,M,Possession of Cocaine,Felony Battery (Dom Strang),9,9,High,High
Female,Female,20,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,0,5,F,M,Grand Theft in the 3rd Degree,arrest case no charge,6,6,Medium,Medium
Female,Male,26,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Fail To Obey Police Officer,Battery,6,6,Medium,Medium
Female,Female,32,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,4,5,F,F,arrest case no charge,arrest case no charge,10,10,High,High
Female,Female,26,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,2,5,M,M,Driving Under The Influence,Grand Theft in the 3rd Degree,4,4,Low,Low
Male,Male,48,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,2,5,M,M,Battery,Battery,2,2,Low,Low
Male,Male,31,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,"Deliver 3,4 Methylenediox",Battery,5,5,Medium,Medium
Male,Male,52,47,Greater than 45,Greater than 45,Hispanic,African-American,0,0,0,0,0,0,2,5,M,M,Leave Acc/Attend Veh/More $50,Battery,1,1,Low,Low
Male,Male,62,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,8,5,F,F,Possession of Cocaine,Possession of Cocaine,4,4,Low,Low
Male,Male,31,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,8,5,F,F,arrest case no charge,arrest case no charge,9,9,High,High
